设备类型,设备ID,指令功能,指令代码,说明
室内环境播报,0F,温度播报,A0 0F 01 00 FF,播报当前温度
室内环境播报,0F,湿度播报,A0 0F 02 00 FF,播报当前湿度
室内环境播报,0F,UV播报,A0 0F 03 00 FF,播报当前UV指数
室内环境播报,0F,光照播报,A0 0F 04 00 FF,播报当前光照强度
室内环境播报,0F,天气播报,A0 0F 05 00 FF,播报当前天气状况
室内环境播报,0F,PM2.5播报,A0 0F 06 00 FF,播报当前PM2.5数值
室内环境播报,0F,环境播报,A0 0F 07 00 FF,播报整体环境状况
水培柜1,0C,打开1号投喂,A0 0C 01 00 FF,启动1号水培柜投喂电机
水培柜1,0C,关闭1号LED,A0 0C 02 00 FF,关闭1号水培柜补光LED
水培柜1,0C,打开1号LED,A0 0C 02 01 FF,打开1号水培柜补光LED
水培柜2,0D,打开2号投喂,A0 0D 01 00 FF,启动2号水培柜投喂电机
水培柜2,0D,关闭2号LED,A0 0D 02 00 FF,关闭2号水培柜补光LED
水培柜2,0D,打开2号LED,A0 0D 02 01 FF,打开2号水培柜补光LED
水培柜3,0E,打开3号投喂,A0 0E 01 00 FF,启动3号水培柜投喂电机
水培柜3,0E,关闭3号LED,A0 0E 02 00 FF,关闭3号水培柜补光LED
水培柜3,0E,打开3号LED,A0 0E 02 01 FF,打开3号水培柜补光LED
喷淋系统1,04,关闭1号喷淋,A0 04 00 00 FF,关闭1号喷淋系统
喷淋系统1,04,打开1号喷淋,A0 04 00 01 FF,打开1号喷淋系统
喷淋系统2,05,关闭2号喷淋,A0 05 00 00 FF,关闭2号喷淋系统
喷淋系统2,05,打开2号喷淋,A0 05 00 01 FF,打开2号喷淋系统
喷淋系统3,06,关闭3号喷淋,A0 06 00 00 FF,关闭3号喷淋系统
喷淋系统3,06,打开3号喷淋,A0 06 00 01 FF,打开3号喷淋系统
补光系统1,07,关闭1号补光,A0 07 00 00 FF,关闭1号补光系统
补光系统1,07,打开1号补光,A0 07 00 01 FF,打开1号补光系统
补光系统2,08,关闭2号补光,A0 08 00 00 FF,关闭2号补光系统
补光系统2,08,打开2号补光,A0 08 00 01 FF,打开2号补光系统
补光系统3,09,关闭3号补光,A0 09 00 00 FF,关闭3号补光系统
补光系统3,09,打开3号补光,A0 09 00 01 FF,打开3号补光系统
施肥系统1,10,打开1号施肥泵,A0 10 00 01 FF,启动1号施肥泵
施肥系统2,11,打开2号施肥泵,A0 11 00 01 FF,启动2号施肥泵
施肥系统3,12,打开3号施肥泵,A0 12 00 01 FF,启动3号施肥泵
自动控制,55,打开自动喷淋,A0 55 00 01 FF,开启自动喷淋模式
自动控制,55,关闭自动喷淋,A0 55 00 00 FF,关闭自动喷淋模式
自动控制,56,打开自动补光,A0 56 00 01 FF,开启自动补光模式
自动控制,56,关闭自动补光,A0 56 00 00 FF,关闭自动补光模式
自动控制,57,打开全部灯光,A0 57 00 01 FF,打开所有灯光设备
自动控制,57,关闭全部灯光,A0 57 00 00 FF,关闭所有灯光设备
自动控制,58,打开全部施肥,A0 58 00 00 FF,启动所有施肥泵
自动控制,59,打开全部喂食,A0 59 00 00 FF,启动所有喂食设备
自动控制,66,打开全部设备,A0 66 00 01 FF,打开所有设备
自动控制,66,关闭全部设备,A0 66 00 00 FF,关闭所有设备